site_name,continent,country,specific_mar_type,soil_class_val,longitude,latitude,optional,soil_grp
Alcalá La Real,Europe,Spain,Infiltration basin,3,-3.92,37.46,TRUE,C
Arve,Europe,Switzerland,Bank filtration,13,6.15,46.18,TRUE,C/D
Prince Albert,Africa,South Africa,Aquifer storage using wells,3,22.029932,-33.222633,TRUE,C
Caiçara,South America,Brasil,Subsurface Dam,3,-40.23522,-9.07306,TRUE,C
City of Pasadena,North America,USA,Aquifer storage and recovery,3,-118.134041,34.154787,TRUE,C
Bergsjön,Europe,Sweden,Infiltration basin,13,14.109,59.309,TRUE,C/D
El Bustan Extension Area,Africa,Egypt,Infiltration basin,3,30.404489,30.38331,TRUE,C
Upland Basin,North America,USA,Infiltration basin,3,-117.694958,34.097915,TRUE,C
North Bend Aquifer ASR,North America,USA,Aquifer storage and recovery,13,-121.788579,47.497748,TRUE,C/D
"First National Bank, 400 S.W. 6th Ave. Branch, Portland3- 4N 4,15",North America,USA,Aquifer storage and recovery,3,-122.6777,45.520505,TRUE,C
Northern Cape,Africa,South Africa,Aquifer storage using wells,2,22,-29.5,TRUE,B
Northwest Hillsborough County Reclaimed Water ASR Project,North America,USA,Aquifer storage and recovery,2,-82.413342,28.059608,TRUE,B
Regent Gardens/ Roy Amer Reserve,Oceania,Australia,Aquifer storage and recovery,3,138.638733,-34.857654,TRUE,C
City of Portland,North America,USA,Aquifer storage and recovery,13,-122.661117,45.525001,TRUE,C/D
Longkou,Asia,China,Subsurface Dam,3,120.575455,37.676739,TRUE,C
Sítio Serra de Campos Novos,South America,Brasil,Subsurface Dam,3,-46.1898,-8.936914,TRUE,C
Plettenberg Bay,Africa,South Africa,Aquifer storage using wells,3,23.350715,-34.060875,TRUE,C
Kladow,Europe,Germany,Bank filtration,2,13.143,52.45,TRUE,B
Valle de las Palmas,North America,Mexico,Infiltration basin,13,-116.622267,32.375639,TRUE,C/D
Santa Rosa ASR,North America,USA,Aquifer storage and recovery,3,-122.7123,38.447247,TRUE,C
Hartfield Park,Oceania,Australia,Aquifer storage and recovery,3,115.997794,-31.99489,TRUE,C
Rokugo basin 4,Asia,Japan,Infiltration basin,3,140.568056,39.424167,TRUE,C
Nainital Lake,Asia,India,Bank filtration,3,79.456136,29.389253,TRUE,C
Barragem do Mundaú,South America,Brasil,Bank filtration,4,-36.4918,-8.9465,TRUE,D
Yamagata-shi,Asia,Japan,Infiltration basin,3,140.360278,38.243889,TRUE,C
Gatton Weir  (Lockyer Valley),Oceania,Australia,Check dam,4,152.256897,-27.560482,TRUE,D
Rio Grande wellfield,North America,USA,Aquifer storage and recovery,2,-74.825394,39.142196,TRUE,B
Auf dem Grind,Europe,Germany,Bank filtration,3,6.69,51.55,TRUE,C
Ladd Building Co.,North America,USA,Aquifer storage and recovery,3,-122.664035,45.52921,TRUE,C
EMBRAPA – Campo experimental da Caatinga BS-3,South America,Brasil,Subsurface Dam,3,-40.327736,-9.067192,TRUE,C
Mini-Anaheim Lake,North America,USA,Infiltration basin,3,-117.843679,33.866518,TRUE,C
Evanston South,Oceania,Australia,Aquifer storage and recovery,3,138.715042,-34.633665,TRUE,C
