Site name,Continent,Country,Latitude,Longitude,MAR objective,P-ET
Alcalá La Real,Europe,Spain,37.46,-3.92,no data,233.0533295
Arve,Europe,Switzerland,46.18,6.15,Management of Water Distribution Systems,606.5079956
Prince Albert,Africa,South Africa,-33.222633,22.029932,no data,100.1393356
Caiçara,South America,Brasil,-9.07306,-40.23522,Maximize Natural Storage,101.4586639
City of Pasadena,North America,USA,34.154787,-118.134041,Maximize Natural Storage,60.72733307
Upland Basin,North America,USA,34.097915,-117.694958,no data,59.77133179
North Bend Aquifer ASR,North America,USA,47.497748,-121.788579,no data,1097.702026
"First National Bank, 400 S.W. 6th Ave. Branch, Portland3- 4N 4,15",North America,USA,45.520505,-122.6777,Other Benefits,815.9286499
Northern Cape,Africa,South Africa,-29.5,22,no data,39.55266571
Shiren River,Asia,China,36.11972,120.546267,Physical Aquifer Management,200.5200043
Tihar Jail,Asia,India,28.617181,77.102104,Other Benefits,261.2086792
Northwest Hillsborough County Reclaimed Water ASR Project,North America,USA,28.059608,-82.413342,Maximize Natural Storage,413.2106628
City of Portland,North America,USA,45.525001,-122.661117,Maximize Natural Storage,815.9286499
Longkou,Asia,China,37.676739,120.575455,Maximize Natural Storage,200.5200043
Sítio Serra de Campos Novos,South America,Brasil,-8.936914,-46.1898,Maximize Natural Storage,341.7446594
Plettenberg Bay,Africa,South Africa,-34.060875,23.350715,Maximize Natural Storage,139.915329
Valle de las Palmas,North America,Mexico,32.375639,-116.622267,Physical Aquifer Management,-24.29199982
Santa Rosa ASR,North America,USA,38.447247,-122.7123,no data,478.0566711
Hartfield Park,Oceania,Australia,-31.99489,115.997794,Maximize Natural Storage,135.9806671
Rokugo basin 4,Asia,Japan,39.424167,140.568056,no data,1042.994629
Nainital Lake,Asia,India,29.389253,79.456136,Water Quality Management,522.0373535
Barragem do Mundaú,South America,Brasil,-8.9465,-36.4918,Water Quality Management,352.5693359
Yamagata-shi,Asia,Japan,38.243889,140.360278,no data,1042.994629
Gatton Weir  (Lockyer Valley),Oceania,Australia,-27.560482,152.256897,Maximize Natural Storage,328.697998
Rio Grande wellfield,North America,USA,39.142196,-74.825394,Maximize Natural Storage,639.166687
Ladd Building Co.,North America,USA,45.52921,-122.664035,Other Benefits,815.9286499
EMBRAPA – Campo experimental da Caatinga BS-3,South America,Brasil,-9.067192,-40.327736,Maximize Natural Storage,101.4586639
Wangwu Reservoir,Asia,China,37.532699,120.655437,Physical Aquifer Management,200.5200043
Mini-Anaheim Lake,North America,USA,33.866518,-117.843679,no data,59.77133179
Evanston South,Oceania,Australia,-34.633665,138.715042,Ecological Benefits,12.48933315
Pendleton ASR,North America,USA,45.666479,-118.75714,Physical Aquifer Management,71.99533081
Huangtu Gaoyuan,Asia,China,36.999577,107.999626,Maximize Natural Storage,105.8813324
Whittier Narrows Water Reclamation Plant,North America,USA,34.032992,-118.068758,no data,60.72733307
Delhi Gymkhana Club,Asia,India,28.597954,77.204894,Maximize Natural Storage,261.2086792
Dagu River,Asia,China,37.045044,120.448002,Physical Aquifer Management,200.5200043
Fazenda Várzea Queimada,South America,Brasil,-10.47258,-40.08251,Maximize Natural Storage,7.817333221
N/A,Asia,China,37.585192,105.124609,Physical Aquifer Management,-3.420000076
Jandakot,Oceania,Australia,-32.1038159,115.8747833,no data,135.9806671
Göttwitz,Europe,Germany,51.254,12.918,Water Quality Management,489.3106689
Ossendrecht,Europe,Netherlands,51.395,4.333,Water Quality Management,477.6199951
College Heights Basins,North America,USA,34.10363,-117.696148,no data,59.77133179
Ana Catchment 2,Africa,Kenia,-1.37143,37.98888,Maximize Natural Storage,75.82333374
Schierstein,Europe,Germany,50.04,8.19,Water Quality Management,346.6159973
Rheintal Grundwasserstrom,Europe,Switzerland,47.5303,7.691765,Water Quality Management,583.7360229
Bear Canyon Recharge Demonstration Project,North America,USA,35.138383,-106.557539,Maximize Natural Storage,36.39799881
Yavne-1,Asia,Israel,31.893417,34.723755,Water Quality Management,173.6186676
Yufuhe,Asia,China,36.645926,116.862777,Physical Aquifer Management,153.3359985
Lee County WTP (LC),North America,USA,26.719166,-81.6811111,Maximize Natural Storage,413.2106628
Guntersblum,Europe,Germany,49.795,8.355,Water Quality Management,346.6159973
Campo de pozos de La Bomba de Limón,South America,Costa Rica,9.135663889,-83.06382778,Management of Water Distribution Systems,2027.904663
