Site name,Continent,Country,Latitude,Longitude,MAR type,Influent type,Climate
Alcala? La Real,Europe,Spain,37.46,-3.92,Infiltration basin,Groundwater,Dry sub-humid
Arve,Europe,Switzerland,46.18,6.15,Bank filtration,River water,Humid
Caiçara,South America,Brasil,-9.07306,-40.23522,Subsurface Dam,River water,Semi-arid
City of Pasadena,North America,USA,34.154787,-118.134041,Aquifer storage and recovery,River water,Semi-arid
Bergsjo?n,Europe,Sweden,59.309,14.109,Infiltration basin,Lake water,Humid
El Bustan Extension Area,Africa,Egypt,30.38331,30.404489,Infiltration basin,River water,Arid
Upland Basin,North America,USA,34.097915,-117.694958,Infiltration basin,Storm water,Semi-arid
"First National Bank, 400 S.W. 6th Ave. Branch, Portland3- 4N 4,15",North America,USA,45.520505,-122.6777,Aquifer storage and recovery,Groundwater,Humid
Northern Cape,Africa,South Africa,-29.5,22,Aquifer storage using wells,River water,Semi-arid
Shiren River,Asia,China,36.11972,120.546267,Subsurface Dam,River water,Dry sub-humid
Tihar Jail,Asia,India,28.617181,77.102104,Rooftop Rainwater Harvesting,Storm water,Humid
Northwest Hillsborough County Reclaimed Water ASR Project,North America,USA,28.059608,-82.413342,Aquifer storage and recovery,Reclaimed wastewater,Humid
Sítio Serra de Campos Novos,South America,Brasil,-8.936914,-46.1898,Subsurface Dam,River water,Humid
Plettenberg Bay,Africa,South Africa,-34.060875,23.350715,Aquifer storage using wells,River water,Semi-arid
Kladow,Europe,Germany,52.45,13.143,Bank filtration,River water,Humid
Valle de las Palmas,North America,Mexico,32.375639,-116.622267,Infiltration basin,Reclaimed wastewater,Semi-arid
Opperduit,Europe,Netherlands,51.899,4.716,Infiltration basin,River water,Humid
Santa Rosa ASR,North America,USA,38.447247,-122.7123,Aquifer storage and recovery,River water,Humid
Hartfield Park,Oceania,Australia,-31.99489,115.997794,Aquifer storage and recovery,Storm water,Dry sub-humid
Rokugo basin 4,Asia,Japan,39.424167,140.568056,Infiltration basin,River water,Humid
Nainital Lake,Asia,India,29.389253,79.456136,Bank filtration,Lake water,Humid
Barragem do Mundaú,South America,Brasil,-8.9465,-36.4918,Bank filtration,Lake water,Humid
Yamagata-shi,Asia,Japan,38.243889,140.360278,Infiltration basin,River water,Humid
Gatton Weir  (Lockyer Valley),Oceania,Australia,-27.560482,152.256897,Check dam,River water,Humid
Auf dem Grind,Europe,Germany,51.55,6.69,Bank filtration,River water,Humid
Ladd Building Co.,North America,USA,45.52921,-122.664035,Aquifer storage and recovery,Groundwater,Humid
EMBRAPA – Campo experimental da Caatinga BS-3,South America,Brasil,-9.067192,-40.327736,Subsurface Dam,River water,Semi-arid
