MAR,Source,Concentration (mg/l),Reference,doi
Infiltration basin,Effluent,2.7,Niinikoski et al. (2016),https://doi.org/10.1016/j.apgeochem.2016.09.001
Infiltration basin,Influent,4.3,Niinikoski et al. (2016),https://doi.org/10.1016/j.apgeochem.2016.09.001
Infiltration basin,Effluent,2.1,Niinikoski et al. (2016),https://doi.org/10.1016/j.apgeochem.2016.09.001
Infiltration basin,Effluent,2.3,Niinikoski et al. (2016),https://doi.org/10.1016/j.apgeochem.2016.09.001
Infiltration basin,Effluent,1.5,Niinikoski et al. (2016),https://doi.org/10.1016/j.apgeochem.2016.09.001
Infiltration basin,Effluent,2.1,Niinikoski et al. (2016),https://doi.org/10.1016/j.apgeochem.2016.09.001
Infiltration basin,Effluent,3,Niinikoski et al. (2016),https://doi.org/10.1016/j.apgeochem.2016.09.001
SAT,Influent,3.6,Zhang et al. (2012),https://doi.org/10.1007/s11270-012-1225-2
SAT,Effluent,2.8,Zhang et al. (2012),https://doi.org/10.1007/s11270-012-1225-2
Infiltration basin,Influent,2,Gorski et al. 2019,https://doi.org/10.1021/acs.est.9b01191
Infiltration basin,Effluent,2.7,Gorski et al. 2019,https://doi.org/10.1021/acs.est.9b01191
Infiltration basin,Influent,7.3,Hellauer et al. (2018),https://doi.org/10.1016/j.jhydrol.2017.09.044
Infiltration basin,Effluent,2.1,Hellauer et al. (2018),https://doi.org/10.1016/j.jhydrol.2017.09.044
Infiltration basin,Effluent,4.6,Hellauer et al. (2018),https://doi.org/10.1016/j.jhydrol.2017.09.044
Infiltration basin,Effluent,5.2,Hellauer et al. (2018),https://doi.org/10.1016/j.jhydrol.2017.09.044
SAT,Influent,7.4,Laws et al. (2011),https://doi.org/10.1016/j.scitotenv.2010.11.021
SAT,Effluent,3.1,Laws et al. (2011),https://doi.org/10.1016/j.scitotenv.2010.11.021
Infiltration basin,Influent,6.1,Mermillod-Blondin et al. (2015),https://doi.org/10.1016/j.watres.2015.05.031
Infiltration basin,Effluent,4.7,Mermillod-Blondin et al. (2015),https://doi.org/10.1016/j.watres.2015.05.031
ASR,Effluent,3,Sidhu et al. (2015),https://doi.org/10.2134/jeq2015.03.0118
Infiltration basin,Effluent,6.29,Sidhu et al. (2015),https://doi.org/10.2134/jeq2015.03.0118
ASR,Effluent,6.8,Sidhu et al. (2015),https://doi.org/10.2134/jeq2015.03.0118
SAT,Effluent,2.9,Sidhu et al. (2015),https://doi.org/10.2134/jeq2015.03.0118
ASR,Influent,1.4,Vanderzalm et al. (2006),https://doi.org/10.1016/j.apgeochem.2006.02.022
ASR,Influent,1.7,Vanderzalm et al. (2006),https://doi.org/10.1016/j.apgeochem.2006.02.022
ASR,Effluent,1,Vanderzalm et al. (2006),https://doi.org/10.1016/j.apgeochem.2006.02.022
ASR,Effluent,1.1,Vanderzalm et al. (2006),https://doi.org/10.1016/j.apgeochem.2006.02.022
ASR,Effluent,5.1,Stuyfzand et al. (2019),https://doi.org/10.3390/w11091807
SAT,Effluent,1.5,Quanrud et al. (2003),https://doi.org/10.1016/S0043-1354(02)00489-X
SAT,Influent,15,Quanrud et al. (2003),https://doi.org/10.1016/S0043-1354(02)00489-X
ASR,Effluent,3.8,Page et al. (2011),https://doi.org/10.1016/j.jenvman.2011.04.005
ASR,Effluent,5,Page et al. (2011),https://doi.org/10.1016/j.jenvman.2011.04.005
ASR,Influent,8.3,Page et al. (2011),https://doi.org/10.1016/j.jenvman.2011.04.005
ASR,Influent,1.7,Page et al. (2011),https://doi.org/10.1016/j.jenvman.2011.04.005
ASR,Influent,2.9,Mille et al. (1993),https://doi.org/10.1111/j.1745-6584.1993.tb01843.x
ASR,Effluent,1.2,Mille et al. (1993),https://doi.org/10.1111/j.1745-6584.1993.tb01843.x
SAT,Influent,6,Fox et al. (2001),https://doi.org/10.2166/wst.2001.0658
SAT,Effluent,0.9,Fox et al. (2001),https://doi.org/10.2166/wst.2001.0658
SAT,Influent,6.9,Pi et al. (2006),https://doi.org/10.1016/S1001-0742(06)60038-7
SAT,Effluent,4.9,Pi et al. (2006),https://doi.org/10.1016/S1001-0742(06)60038-7
SAT,Influent,18,Idelovitch et al. (1984),www.jstor.org/stable/25042398
SAT,Effluent,3.2,Idelovitch et al. (1984),www.jstor.org/stable/25042398
BF,Influent,7.4,Grünheid et al. (2005),https://doi.org/10.1016/j.watres.2005.05.030
BF,Effluent,3,Grünheid et al. (2005),https://doi.org/10.1016/j.watres.2005.05.030
BF,Influent,2.3,Storck et al. (2012),https://doi.org/10.2166/wst.2012.150
BF,Effluent,0.5,Storck et al. (2012),https://doi.org/10.2166/wst.2012.150
BF,Influent,1.3,Weiss et al. (2004),https://doi.org/10.2166/aqua.2004.0007
BF,Effluent,1,Weiss et al. (2004),https://doi.org/10.2166/aqua.2004.0007
BF,Influent,7,Maeng et al. (2010),https://doi.org/10.1016/j.watres.2010.03.035
Infiltration basin,Influent,7.2,Maeng et al. (2010),https://doi.org/10.1016/j.watres.2010.03.035
BF,Influent,2.7,Weiss et al. (2003),https://doi.org/10.1002/j.1551-8833.2003.tb10475.x
BF,Effluent,0.7,Weiss et al. (2003),https://doi.org/10.1002/j.1551-8833.2003.tb10475.x
BF,Influent,4,Weiss et al. (2003),https://doi.org/10.1002/j.1551-8833.2003.tb10475.x
BF,Effluent,0.5,Weiss et al. (2003),https://doi.org/10.1002/j.1551-8833.2003.tb10475.x
BF,Influent,3.5,Weiss et al. (2003),https://doi.org/10.1002/j.1551-8833.2003.tb10475.x
BF,Effluent,2.45,Weiss et al. (2003),https://doi.org/10.1002/j.1551-8833.2003.tb10475.x
SAT,Influent,13.5,Wilson et al. (1995),https://doi.org/10.2175/106143095X131600
SAT,Effluent,1.2,Wilson et al. (1995),https://doi.org/10.2175/106143095X131600
