Compound,Source,Unit,Turbidity (NTU),Source,doi
ASR,Influent,Turbidity (NTU),4.7,Page et al. (2017),https://doi.org/10.1016/j.watres.2017.03.049
ASR,Effluent,Turbidity (NTU),4.6,Page et al. (2017),https://doi.org/10.1016/j.watres.2017.03.049
ASR,Influent,Turbidity (NTU),11,Page et al. (2017),https://doi.org/10.1016/j.watres.2017.03.049
ASR,Effluent,Turbidity (NTU),12,Page et al. (2017),https://doi.org/10.1016/j.watres.2017.03.049
ASR,Influent,Turbidity (NTU),6.5,Page et al. (2017),https://doi.org/10.1016/j.watres.2017.03.049
ASR,Effluent,Turbidity (NTU),4.8,Page et al. (2017),https://doi.org/10.1016/j.watres.2017.03.049
ASR,Influent,Turbidity (NTU),9.5,Page et al. (2017),https://doi.org/10.1016/j.watres.2017.03.049
ASR,Effluent,Turbidity (NTU),4.2,Page et al. (2017),https://doi.org/10.1016/j.watres.2017.03.049
ASR,Influent,Turbidity (NTU),5,Page et al. (2015),https://doi.org/10.1016/j.ecoleng.2015.09.023
ASR,Effluent,Turbidity (NTU),5,Page et al. (2015),https://doi.org/10.1016/j.ecoleng.2015.09.023
ASR,Influent,Turbidity (NTU),10,Page et al. (2015),https://doi.org/10.1016/j.ecoleng.2015.09.023
ASR,Effluent,Turbidity (NTU),4,Page et al. (2015),https://doi.org/10.1016/j.ecoleng.2015.09.023
ASR,Influent,Turbidity (NTU),7,Page et al. (2015),https://doi.org/10.1016/j.ecoleng.2015.09.023
ASR,Effluent,Turbidity (NTU),5,Page et al. (2015),https://doi.org/10.1016/j.ecoleng.2015.09.023
ASR,Influent,Turbidity (NTU),11,Page et al. (2015),https://doi.org/10.1016/j.ecoleng.2015.09.023
ASR,Effluent,Turbidity (NTU),13,Page et al. (2015),https://doi.org/10.1016/j.ecoleng.2015.09.023
ASR,Influent,Turbidity (NTU),2.8,Page et al. (2011),https://doi.org/10.1016/j.jenvman.2011.04.005
ASR,Effluent,Turbidity (NTU),3.3,Page et al. (2011),https://doi.org/10.1016/j.jenvman.2011.04.005
ASR,Influent,Turbidity (NTU),0.6,Page et al. (2011),https://doi.org/10.1016/j.jenvman.2011.04.005
ASR,Effluent,Turbidity (NTU),500,Page et al. (2011),https://doi.org/10.1016/j.jenvman.2011.04.005
ASR,Influent,Turbidity (NTU),12.3,Sultana et al. (2015),https://doi.org/10.1061/(ASCE)HE.1943-5584.0001100
ASR,Effluent,Turbidity (NTU),23.3,Sultana et al. (2015),https://doi.org/10.1061/(ASCE)HE.1943-5584.0001101
Infiltration Basin,Influent,TSS Concentration (mg/L),2870,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Infiltration Basin,Influent,TSS Concentration (mg/L),36,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Infiltration Basin,Influent,TSS Concentration (mg/L),166,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Infiltration Basin,Influent,TSS Concentration (mg/L),191,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Infiltration Basin,Influent,TSS Concentration (mg/L),72,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Infiltration Basin,Influent,TSS Concentration (mg/L),1280,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Infiltration Basin,Influent,TSS Concentration (mg/L),118,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Infiltration Basin,Influent,TSS Concentration (mg/L),600,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Infiltration Basin,Influent,TSS Concentration (mg/L),161,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Infiltration Basin,Influent,TSS Concentration (mg/L),723,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Infiltration Basin,Effluent,TSS Concentration (mg/L),49,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Infiltration Basin,Effluent,TSS Concentration (mg/L),30,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Infiltration Basin,Effluent,TSS Concentration (mg/L),15,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Infiltration Basin,Effluent,TSS Concentration (mg/L),85,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Infiltration Basin,Effluent,TSS Concentration (mg/L),30,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Infiltration Basin,Effluent,TSS Concentration (mg/L),90,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Infiltration Basin,Effluent,TSS Concentration (mg/L),35,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Infiltration Basin,Effluent,TSS Concentration (mg/L),24,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Infiltration Basin,Effluent,TSS Concentration (mg/L),18,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Infiltration Basin,Effluent,TSS Concentration (mg/L),66,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),12,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),12,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),7.199999809,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),11,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),6.111248493,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),12,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),3.799999952,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),22.70999908,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),36.57699966,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),60.67599869,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),49.55899811,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),32.56100082,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),13.26399994,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),109.8659973,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),5.571000099,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),17.30500031,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),29.21299934,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),52.05799866,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),214.4149933,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),74.37000275,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),94.02700043,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),187.5679932,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),49.55899811,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),26.81599998,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),45.26499939,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),10.63000011,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),65.05699921,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),11.73999977,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),5.571000099,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),13.68299961,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),17.30500031,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),29.21299934,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),214.4149933,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
